year,stcd,dv,dpres,redist ,dexp ,rexp
1994,1308,35.07,39.13382,0,66960,722267
1994,1309,66.1,69.4247,0,217952,48121
1994,1310,24.95,49.03605,0,10214,538716
1994,1311,39.37,54.62444,0,614142,877429
1994,1312,65.92,65.49015,0,499844,43779
1994,1313,26.88,40.7115,0,0,278469
1994,1314,23.52,44.01737,0,54330,696217
1994,1315,31.85,52.3239,0,144040,511926
1994,1316,29.36,46.60698,0,214715,579059
1994,1317,54.53,56.51266,0,270939,15583
1994,1318,39.53,50.69582,0,345701,697727
1994,1319,58.39,57.8825,0,164541,57702
1994,1320,54.84,57.9699,0,692886,55337
1994,1401,56.46,63.13083,0,290049,172531
1994,1402,45.53,44.69976,0,794684,973209
1994,1403,55.18,47.35204,0,350594,64373
1994,1404,44.57,40.26942,0,410299,422161
1994,1405,28.94,40.74053,0,181780,501287
1994,1406,22.97,28.52447,0,0,455095
1994,1407,34.9,40.53865,0,480693,543967
1994,1408,47.57,51.65042,0,565810,309484
1994,1409,52.03,50.15908,0,578468,241854
1994,1410,53.46,56.76681,0,27554,69852
1994,1501,38.61,57.35461,0,82447,268937
1994,1502,43.66,55.85946,0,491552,876142
1994,1503,41.49,55.52509,0,374500,709487
1994,1504,46.89,52.24239,0,1005498,1195525
1994,1505,39.08,47.40432,0,719811,742308
1994,1601,22.59,39.85724,0,0,309950
1994,1602,34.35,49.88052,0,526315,749330
1994,1603,43.41,50.54319,0,340859,376484
1994,1604,47.09,45.16288,0,693534,199973
1994,1701,49.03,54.69778,0,621279,349472
1994,1702,40.2,47.96795,0,493564,393266
1994,1703,50.16,57.68095,0,565022,580409
1994,1704,25.85,46.92583,0,20141,560590
1994,1705,20.58,53.3492,0,52377,348253
1994,1706,58.84,49.17155,0,223327,23190
1994,1801,,35.85767,0,,348081
1994,1802,,73.75864,0,608567,
1994,1803,,52.12674,0,680211,
1994,1804,,73.4466,0,271463,
1994,1805,,42.77934,0,,459098
1994,1806,,40.37639,0,,518945
1994,1807,,55.17216,0,436254,
1994,1901,48.11,55.65262,1,514071,196048
1994,1902,52.86,56.55916,1,442226,258813
1994,2001,32.3,46.07476,0,30612,153133
1994,2002,37.24,44.79836,0,550471,562892
1994,2003,70.97,62.38698,0,550172,10439
1994,2004,75.03,79.82864,0,358607,119749
1994,2005,58.81,53.02058,0,1295542,581198
1994,2006,34.05,41.27287,0,257690,369904
1994,2007,81.51,83.07553,0,161285,0
1994,2008,29.72,60.12754,0,10802,306968
1994,2101,,64.333,0,317317,
1994,2102,61.7,61.49176,0,318582,60685
1994,2103,44.72,59.19725,0,495645,977107
1994,2104,,65.78439,0,208936,
1994,2105,69.85,56.98697,0,803523,0
1994,2106,48.41,58.12151,0,497570,768072
1994,2107,64.45,63.1918,0,757993,360370
1994,2108,,77.66254,0,839275,
1994,2109,69.77,60.47214,0,981247,178701
1994,2110,68.76,50.34437,0,639313,10990
1994,2201,57.53,54.06638,0,678925,665398
1994,2202,23.98,42.87925,0,9792,134979
1994,2203,24.17,42.40011,0,20402,203428
1994,2204,25.82,50.29903,0,68801,444419
1994,2205,67.34,58.40796,0,205769,5856
1994,2206,25.78,50.88007,0,71609,575406
1994,2207,33.15,50.15625,0,34153,289573
1994,2208,46.52,53.14596,0,474437,356924
1994,2209,52.13,56.09373,0,963249,302174
1994,2210,62.32,46.47425,0,1123472,18084
1994,2211,30.9,44.02458,0,29576,507622
1994,2212,52.74,50.85213,0,1536445,470616
1994,2213,53.48,59.20247,0,610394,348322
1994,2214,83.05,86.15083,0,575696,0
1994,2215,85.61,84.505,0,177120,0
1994,2216,59.8,54.65431,0,1075063,8074
1994,2301,44.77,52.74839,1,347084,581099
1994,2302,53.61,51.34814,1,622920,325853
1994,2303,26.42,52.26506,1,35839,498146
1994,2304,56.69,65.00773,1,339703,93457
1994,2305,62.39,71.15752,1,333075,148799
1994,2306,50.12,54.14562,1,1133977,699413
1994,2307,51.28,50.1767,1,584092,507325
1994,2308,65.74,63.19316,1,488411,31673
1994,2401,36.94,45.35142,0,789523,729704
1994,2402,57.99,61.28983,0,396502,279234
1994,2403,67.62,36.69698,0,571635,106706
1994,2404,68.47,45.02637,0,672593,13239
1994,2405,60.1,37.03948,0,182381,71860
1994,2501,65.86,78.24678,0,349528,7408
1994,2502,31.27,47.51718,0,135867,773953
1994,2503,59.22,58.03276,0,2621479,196461
1994,2504,67.75,49.53026,0,427184,15666
1994,2505,56.55,66.65448,0,866808,458373
1994,2506,66.15,55.28937,0,474038,42378
1994,2507,40.95,44.84863,0,239681,218098
1994,2508,27.47,55.17841,0,3752,396967
1994,2509,52.85,54.81551,0,473716,185418
1994,2601,53.54,51.72406,0,734121,436943
1994,2701,37.36,42.97308,0,178046,334598
1994,2702,49.52,40.5778,0,1105892,953163
1994,2703,21.31,32.13876,0,54519,232013
1994,2801,49.51,58.32856,0,913708,687194
1994,2802,31.5,46.19227,0,58191,692936
1994,2901,30.45,49.21434,0,139023,868042
1994,2902,47.18,52.38348,0,1029471,448431
1994,3001,72.27,60.1871,0,674366,78028
1994,3002,35.38,51.00845,0,168428,757681
1994,3003,31.99,50.2,0,0,356108
1994,3004,31.09,48.94268,0,16217,271108
1994,3005,22.77,40.58526,0,160,497345
1994,3006,61.66,52.96915,0,672626,252307
1994,3007,39.39,47.98168,0,15667,542564
1994,3008,49.34,51.76816,0,1116614,851781
1994,3009,63.43,54.46119,0,744648,21811
1994,3010,77.61,77.8007,0,309623,18180
1994,3011,28.2,38.85685,0,43614,243923
1994,3012,30.77,48.17452,0,49395,612178
1994,3013,73.77,59.51298,0,488448,6159
1994,3101,26.07,54.13953,0,5944,458653
1994,3102,33.5,50.67862,0,221676,384687
1994,3103,65.12,60.19151,0,579737,110575
1994,3201,46.97,48.92199,0,719102,265930
1994,3202,29.11,49.63842,0,87156,484133
1994,3203,40.3,50.99803,0,415561,516548
1994,3204,42.64,53.08258,0,447955,231931
1994,3205,55.96,59.67517,0,1376467,442726
1994,3206,80.44,80.53568,0,227256,0
1994,3207,,61.37138,0,360940,
1994,3208,83.88,81.79548,0,791767,16172
1994,3209,72.61,64.41096,0,157108,13831
1994,3210,90.6,86.71796,0,453427,0
1994,3211,90.36,89.9396,0,295986,0
1994,3212,,72.37103,0,605787,
1994,3213,26.02,45.10643,0,21618,481588
1994,3214,64.47,74.85065,0,1032181,988112
1994,3215,,88.87954,0,1437297,
1994,3216,,84.23089,0,125441,
1994,3217,81.27,79.96729,0,464101,211374
1994,3218,58.32,55.44992,0,1343347,427491
1994,3219,41.37,48.83326,0,566601,570821
1994,3220,30.31,52.05617,0,35766,547731
1994,3221,68.25,58.59784,0,217642,25773
1994,3222,26.57,46.24236,0,17363,444067
1994,3223,24.68,48.19106,0,12774,336183
1994,3224,21.45,49.62697,0,0,53187
1994,3225,42.39,53.15441,0,205818,415314
1994,3226,50.33,55.98126,0,738098,278962
1994,3227,25.47,43.86313,0,62746,642531
1994,3228,58.57,53.48407,0,790778,165922
1994,3229,56.19,54.41396,0,825314,219273
1994,3230,33.18,63.60025,0,193717,488083
1994,3231,,45.98461,0,0,356525
1994,3301,61.07,67.75045,0,417700,16572
1994,3302,43.96,46.47557,0,918909,725357
1994,3303,47.29,45.6014,0,941904,477463
1994,3304,49.61,54.53567,0,675680,264869
1994,3305,42.72,49.67853,0,759742,741986
1994,3306,,38.53191,0,,350981
1994,3307,51.57,50.1875,0,823282,91027
1994,3308,52.38,48.78743,0,669622,320520
1994,3309,35.01,38.13357,0,85458,663405
1994,3310,28.48,37.43254,0,0,221536
1994,3311,39.89,50.16257,0,607128,999467
1994,3312,65.83,72.26427,0,253715,14700
1994,3401,53.74,42.12529,0,813900,818392
1994,3501,43.92,50.03711,0,1001393,542829
1994,3502,22.56,35.08342,0,2503,250860
1994,3503,59.3,50.79732,0,292838,218384
1994,3504,,39.75286,0,,279829
1994,3505,26.64,44.63264,0,0,210789
1994,3506,49.05,49.64962,0,533425,862015
1994,3507,,42.77671,0,,191660
1994,3508,,38.35469,0,,713223
1994,3509,75.34,59.20209,0,309247,9500
1994,3510,42.68,53.64711,0,494467,675825
1994,3511,77.21,81.76716,0,382332,0
1994,3512,33.33,48.9589,0,258299,560117
1994,3513,51.87,51.64824,0,974225,570331
1994,3514,51.93,59.35033,0,595448,256758
1994,3515,29.16,44.4814,0,0,443007
1994,3516,25,49.03166,0,0,120279
1994,3517,77.41,66.06805,0,145793,8522
1994,3518,46.02,55.82676,0,434905,600426
1994,3519,47.29,51.67347,0,981882,712925
1994,3601,37.32,37.558,0,546470,610211
1994,3602,47.94,54.25415,0,75202,604924
1994,3603,73.77,55.15345,0,833456,0
1994,3604,45.59,44.526,0,222946,568942
1994,3605,,32.32605,0,,274179
1994,3606,29.8,44.42432,0,22760,146806
1994,3701,50.06,57.91026,0,1132394,541456
1994,3702,40.35,47.7588,0,369790,298053
1994,3703,78.9,66.99503,0,437586,0
1994,3704,66.82,56.78814,0,221718,10767
1994,3705,48.44,53.04369,0,668536,362620
1994,3801,81.52,79.31451,0,486812,0
1994,3802,85.88,85.26929,0,492348,2828
1994,3803,62.67,62.34171,0,323957,120616
1994,3804,64.17,60.90541,0,467285,88576
1994,3805,,46.61813,0,,340709
1994,3806,56.75,46.59017,0,675274,132889
1994,3807,30.33,47.35934,0,149028,349639
1994,3808,28.74,50.58761,0,29945,360600
1994,3809,,40.63667,0,,776175
1994,3810,32.12,47.91542,0,12395,415387
1994,3811,66.53,52.12311,0,304520,57006
1994,3812,68.91,58.57975,0,913004,35782
1994,3813,47.78,52.47539,0,1620110,1015330
1994,3814,66.43,68.77717,0,185539,9747
1994,3815,50.16,53.17019,0,284930,325713
1994,3816,30.28,40.00913,0,71547,242192
1994,3817,,38.91848,0,,86839
1994,3818,54.82,62.98935,0,381733,362091
1994,3819,,41.6585,0,,50718
1994,3820,53.09,63.57212,0,489508,363080
1994,3821,48.67,56.5763,0,465191,450795
1994,3901,54.15,63.83741,0,1065597,803371
1994,3902,67.99,59.93462,0,604267,224743
